place,editor,pid,title,slug,description,category_id,views,,
भंडारा,NewsKatta,29,कोका वन्यजीव परीक्षेत्राधिकारी यांचेकडून खंडणी वसूल करणाऱ्या दोघांना अटक,कोका वन्यजीव परीक्षेत्राधिकारी यांचेकडून खंडणी वसूल करणाऱ्या दोघांना अटक,"<p><br />
<em><strong>कोका वन्यजीव अभयारण्य परीक्षेत्रातील वृक्षतोड व अवैध उत्खनन केली या कारणावरून वरिष्ठ अधिकाऱ्यांना तक्रार करू अशी धमकी देऊन 10 लक्ष रुपयांची मागणी केल्या प्रकरणी कारधा पोलिसांनी दोन तथाकथीत वन्यजीव कार्यकर्त्यांना अटक केली आहे.</strong></em><br />
सदर आरोपी वारंवार फोन वर धमकी देत असल्यामुळे सचिन शंकर जाधव, वन परिक्षेत्र अधिकारी, कोका वन्यजीव अभयारण्य यांनी काल रविवार ला कारधा (भंडारा ग्रामीण) पोलिस स्टेशन येथे तक्रार दाखल केली. त्यानुसार पोलिसांनी कलम 385, 34 भा. द. वि. नुसार गुन्हा दाखल केला व लगेच आपली सूत्रे हलविली.&nbsp;<br />
आरोपींनी काल सायंकाळी फिर्यादी अधिकारी यांना लाखनी तालुक्यात मानेगाव/सडक येथे पैसे घेऊन बोलविले असता सचिन जाधव त्या ठिकाणी 50,000 इतकी रक्कम घेऊन पोहोचले व आरोपी राहुल मनोहर गणवीर यांच्याकडे दिली. पोलिसांनी तात्काळ कार्यवाई करत आरोपी राहुल मनोहर गणवीर याला काल अटक केली. फरार आरोपी सचिन मनोहर रंगारी याला आज सोमवार ला अटक करण्यात कारधा पोलिसांना यश आले.&nbsp;<br />
दोन्ही आरोपींच्या अटकेनंतर गुन्ह्यात कलम 384 भा. द. वि. नुसार वाढ केली असून आरोपींना आज भंडारा न्यायालयासमक्ष हजर करण्यात आले.&nbsp;<br />
कारधा (भंडारा ग्रामीण) पोलिस उपनिरीक्षक माधव परशुरामकर पुढील तपास करीत आहेत.&nbsp;</p>

<p>सादर बातमी यू ट्यूब वर पाहण्याकरिता टिचकी मारा:&nbsp;<a href=""https://www.youtube.com/watch?v=evCT0OI34rw&amp;feature=youtu.be&amp;ab_channel=NewsKatta"">https://www.youtube.com/watch?v=evCT0OI34rw&amp;feature=youtu.be&amp;ab_channel=NewsKatta</a></p>

<p>&nbsp;</p>","34,35,36,38",69,,
भंडारा,NewsKatta,30,"3650 किमीच्या थरारक प्रवासातून  ""बी कुल - पॅडल टु स्कूल"" चा संदेश  न्युज कट्टा","3650 किमीच्या थरारक प्रवासातून  ""बी कुल - पॅडल टु स्कूल"" चा संदेश  न्युज कट्टा","<p>नाशिकचे अल्ट्रा सायकलिस्ट ओम महाजन यांनी काश्मीर ते कन्याकुमारी असा 3650 कि.मी. चा थरारक प्रवास अवघ्या 8 दिवस 7 तास 38 मिनिटात पूर्ण करून गिनीज बुक ऑफ वर्ल्ड रेकॉर्डमध्ये नोंद करत &nbsp;&quot;बी कुल - पॅडल टु स्कूल&quot; असा संदेश दिला.<br />
ही देशव्यापी राईड यशस्वीपणे पूर्ण केल्याने अभिनंदन म्हणून नाशिक सायकलिस्ट् फाउंडेशनच्या वतीने अल्ट्रा सायकलिस्ट ओम हितेंद्र महाजन यांचा सत्कार सोहळा नुकताच पीकॉक हॉल, दिंडोरी रोड येथे पार पडला.<br />
या कार्यक्रमास प्रमुख अतिथी नाशिक जिल्हा परिषदेच्या मुख्य कार्यकारी अधिकारी लीना बन्सोड उपस्थित होत्या. काश्मीर ते कन्याकुमारी 3650 कि.मी. अवघ्या 8 दिवस 7 तास 38 मिनिटात पूर्ण करून गिनीज बुक ऑफ वर्ल्ड रेकॉर्डमध्ये नोंद करणाऱ्या ओमने &quot;बी कुल - पॅडल टु स्कूल &quot; हा संदेश देत काश्मीर ते कन्याकुमारी राईड यशस्वी पुर्ण केली.<br />
त्याच्या या अभिमानास्पद कामगिरीबद्दल शालेय विद्यार्थ्यांनी प्रेरणा घ्यावी या उद्देशाने नाशिक सायकलिस्ट फाउंडेशनचे अध्यक्ष राजेंद्र वानखडे यांच्या संकल्पनेतून, जिल्हा परिषदेच्या शाळांना प्रेरणादायी पुस्तकांचा सेट देण्यात आला. याप्रसंगी बोलताना वानखडे म्हणाले, &quot;कौशल्य विकसित होण्यासाठी विविध पुस्तकांच्या वाचनाची &nbsp;गरज आहे, या अनुषंगाने गरजू विद्यार्थ्यांच्या ज्ञानात भर पडेल व विकास होईल.&quot;<br />
लीना बनसोड यांनी या कामगिरीचे कौतुक केले &nbsp;व ऑनलाईन मिटिंगद्वारे जिल्हा परिषदेच्या शाळेतील विद्यार्थ्यांपर्यंत हे अनुभव सत्र आयोजीत करण्याचे जाहीर केले.</p>",42,63,,
 मुंबई,NewsKatta,32,विधानपरिषदेच्या ५ नवनिर्वाचित सदस्यांचा शपथविधी ,विधानपरिषदेच्या ५ नवनिर्वाचित सदस्यांचा शपथविधी ,"<p><span style=""font-size:16px""><strong>विधानपरिषदेच्या ५ नवनिर्वाचित सदस्यांचा शपथविधी&nbsp;</strong></span><br />
न्यूज़ कट्टा / &nbsp;मुंबई</p>

<p><em><strong>महाराष्ट्र विधानपरिषदेच्या औरंगाबाद, नागपूर, पुणे विभाग पदवीधर मतदारसंघातून आणि पुणे, अमरावती विभाग शिक्षक मतदारसंघातून विधानपरिषदेवर &nbsp;५ नवनिर्वाचित सदस्यांचा शपथविधी विधानभवनात झाला.&nbsp;</strong></em></p>

<p>विधानपरिषदेचे सभापती रामराजे नाईक- निंबाळकर यांनी या पाच नवनिर्वाचित सदस्यांना &nbsp;शपथ दिली. औरंगाबाद विभाग पदवीधर मतदारसंघातून निवडून आलेले सतीश चव्हाण (राष्ट्रवादी कॉंग्रेस ), नागपूर विभाग पदवीधर मतदारसंघातून निवडून आलेले अभिजीत वंजारी (कॉंग्रेस ), &nbsp;पुणे विभाग पदवीधर मतदारसंघातून निवडून आलेले अरुण लाड (राष्ट्रवादी कॉंग्रेस ), &nbsp;पुणे विभाग शिक्षक &nbsp;मतदारसंघातून निवडून आलेले जयंत आसगावकर ( कॉंग्रेस ) आणि अमरावती विभाग शिक्षक मतदारसंघातून निवडून आलेले किरण सरनाईक (अपक्ष ) यांनी आज आपल्या पदाची शपथ घेतली.&nbsp;<br />
विधानभवनातील मध्यवर्ती सभागृहात हा शपथविधी प्पर पडला असून यावेळी विधानसभा अध्यक्ष नाना पटोले, मुख्यमंत्री उद्धव ठाकरे, उपमुख्यमंत्री अजितदादा पवार, विधानपरिषदेच्या उपसभापती डॉ. नीलिमा गोऱ्हे, महसूलमंत्री बाळासाहेब थोरात यांच्यासह मंत्रिमंडळातील विविध विभागाचे मंत्री आणि राज्यमंत्री उपस्थित होते.<br />
&nbsp;</p>","34,35,37",59,,
भंडारा,NewsKatta,33,भारत बंदला जिल्ह्यात संमिश्र प्रतिसाद ,भारत बंदला जिल्ह्यात संमिश्र प्रतिसाद ,"<p><span style=""font-size:16px""><strong>भारत बंदला जिल्ह्यात संमिश्र प्रतिसाद&nbsp;</strong></span><br />
&nbsp; &nbsp; &nbsp;<strong>पन्नास लोकांना अटक व सुटका</strong></p>

<p><em><strong>न्यूज कट्टा /&nbsp;भंडारा : &nbsp; &nbsp; &nbsp;शेतकरी विरोधी तीन अन्यायकारक काळे कृषी &nbsp;कायदे ताबडतोब रद्द करण्यात यावे या प्रमुख मागणीसाठी दिल्ली येथे आंदोलन करणाऱ्या शेतकऱ्यांच्या भारत बंदच्या हाकेच्या समर्थनार्थ भारतीय कम्युनिस्ट पक्ष, किसान सभा व लालबावटा शेतमजूर युनियन जिल्हा भंडाराच्या वतीने जिल्हाधिकारी कार्यालयासमोर जेलभरो आंदोलन करण्यात आले. त्यात पन्नास लोकांना अटक करून नंतर सोडून देण्यात आले .</strong></em></p>

<p>&nbsp; &nbsp;आंदोलनाचे नेतृत्व भाकपचे जिल्हा सचिव कॉम्रेड &nbsp;हिवराज उके, किसान सभेचे अध्यक्ष काॅ. सदानंद इलमे, सचिव कॉम्रेड माधवराव बांते यांनी केले .याप्रसंगी शेतकरी विरोधी कायदे &nbsp;व भारत बंद ची भूमिका विशद करताना भाजपा आरेसेस प्रणित मोदी सरकार कशी &nbsp;शेतकरीविरोधी आहे व घटनात्मक तरतुदींचा कशाप्रकारे भंग करीत असते याबद्दल सांगितले. जिल्हाधिकारी यांना दिलेल्या मागण्यांच्या निवेदनाचे वाचन केले व मागण्या मान्य न झाल्यास आंदोलन अधिक तीव्र करण्यात येईल असे आवाहन करण्यात आले &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;मागण्यांमध्ये प्रमुख्याने शेतकरीविरोधी तीन अन्यायकारक काळे कृषी कायदे ताबडतोब रद्द करण्यात यावे, किसान संघटनांशी चर्चा केल्याशिवाय केंद्र सरकारने कृषी कायद्यामध्ये कोणतेही बदल करू नये, किमान आधारभूत भाव व खरेदी प्रक्रियेचा &nbsp;कायद्यात समावेश करावा, शेतीमालाला खर्चाच्या दीडपट हमीभाव द्यावा व शेतकऱ्यांची संपूर्ण कर्जमुक्ती करावी, कोरोना &nbsp;काळातील संपूर्ण वीजबिल माफ करण्यात यावे तसेच विजबिल 2020 रद्द करण्यात यावे, 60 वर्षावरील सर्व शेतकरी शेतमजूर व कष्टकरी व्यक्तींना दहा हजार रुपये मासिक पेन्शन देण्यात यावे ऑगस्ट - सप्टेंबर महिन्यात आलेल्या महा पूरग्रस्तांना नुकसान भरपाई देण्यात यावी, हातावर पोट असणाऱ्या सर्व कष्टकऱ्यांना साडेसात हजार रुपये महिना आर्थिक मदत देण्यात यावी, निराधारांचे प्रलंबीत अनुदान त्वरित देण्यात यावे, सुरेवाडा &nbsp;येथील प्रकल्पग्रस्त पात्र भूखंडापासून वंचित असणाऱ्यांना भूखंड देऊन त्यांचे पुनर्वसन करण्यात यावे व प्रकल्पग्रस्त भाडेकरूंना भूखंड देण्यात यावे व त्यांचे पुनर्वसन करण्यात यावे, सर्व प्रलंबित असणाऱ्या जबरन जोतदार शेतक-यांना वन हक्क कायद्यांतर्गत व महसुली कायद्यांतर्गत मालकी पट्टे देण्यात यावे ,भंडारा शहरातील पिण्याच्या पाण्याची योजना त्वरित अमलात आणावे व दूषित पाण्यापासून मुक्ती द्यावी तसेच सदर पाणी योजना केंव्हा पूर्ण करण्यात येईल याची समयसीमा निर्धारित करण्यात यावी, सर्व झोपडीवासीयांना मालकी पट्टे देण्यात यावे, भंडारा ते तुमसर रोडचे पुनर्निर्माण करण्यात यावे, रमाई आवास योजनेचे प्रलंबित बिल त्वरित काढण्यात यावे ,सर्व बेघर लोकांना घरकुल देण्यात यावे ,मुजबी ते सिंगोरी पर्यंत नॅशनल हायवे चे चौपदरीकरण त्वरित करण्यात यावे व हॉटेल रनत भवर समोर रेल्वे क्रॉसिंग जवळ नेहमी अपघात होत असणाऱ्या ठिकाणी जाहिरातीचे असलेले बोर्ड त्वरित हटविण्यात यावे, 60 वर्षावरील शेतकरी शेतमजूर व सर्व कष्टकऱ्यांना दहा हजार रुपये पेन्शन देण्यात यावे इत्यादी मागण्यांचा &nbsp;निवेदनात समावेश करण्यात आला.&nbsp;<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; धरणे, निदर्शने व जेलभरो आंदोलनात भाकपचे जिल्हा सचिव काॅ.हिवराज उके, महाराष्ट्र राज्य किसान सभेचे अध्यक्ष कॉम्रेड सदानंद इमले, सचिव कॉम्रेड माधवराव बांते, लालबावटा शेतमजूर युनियनचे भंडारा तालुकाध्यक्ष वाल्मीक नागपुरे ,भंडारा तालुका सचिव गजानन पाचे, माणिकराव कुकडकर, देविदास कानेकर, महानंदा गजभिये ,मंजुषा गजभिये &nbsp;तसेच रिपब्लिकन सेनेचे &nbsp;अचल मेश्राम ,सम्राट अशोक सेनेचे तुळशीराम गेडाम ,दलित पॅंथर च्या &nbsp;कविता भोंदे ,उज्वला देवगडे, सामाजिक न्याय संघटनेचे श्याम गजभिये ,महाराष्ट्र नाभिक महामंडळाचे रोशन उरकुडे ,राष्ट्रीय ओबीसी महासंघाचे डॉ.मुकेश पुडकेे &nbsp;ओबीसी सेवा संघाचे मनोज बोरकर, भारत मुक्ती मोर्चा चे आशीष सतदेवे, समता सैनिक दलाचे एस एस बोरकर तसेच गौतम भोयर,गणेश चिचामे महादेवआंबाघरे,नंदकिशोर रामटेके, मुन्ना फुलबांधे ,प्रकाश उईके अलका सतदेवे मानिका सतदेवे, उर्मिला वासनिक, कल्पना रामटेके, शीला शामकुवर,देवानंद नंदागवळी,भागीरथ धोटे, सरस्वता देशमुख, अभिमान साखरकर, भीमराव &nbsp;बनसोड, एडवोकेट नंदागवळी, अनिल सुखदेवे इत्यादींच्या समावेश होता.</p>","35,36",86,,
भंडारा,NewsKatta,35,कोरोनाचे भंडारा जिल्ह्यात आज ४ बळी,कोरोनाचे भंडारा जिल्ह्यात आज ४ बळी,"<p><span style=""font-size:16px""><strong>&nbsp;कोरोनाचे भंडारा जिल्ह्यात आज ४ बळी </strong></span></p>

<p><span style=""font-size:14px""><strong><em>न्यूज़ कट्टा / भंडारा </em></strong></span></p>

<p><strong><em>आज कोरोनाच्या 4 रुग्णांचा मृत्यू झाला असून जिल्ह्यात कोरोना पॉझिटिव्ह मृतांची संख्या एकूण 269 झाली आहे. 112 रुग्ण बरे होऊन घरी गेले आहेत. बरे झालेल्या रुग्णांची संख्या 10446 झाली असून आज 52 नवे कोरोनाबाधित रुग्ण आढळून आले आहेत. पॉझिटिव्ह रुग्णांची संख्या 11299 झाली आहे. रुग्ण बरे होण्याचे प्रमाण 92.45 टक्के आहे.</em></strong><br />
&nbsp; आज 497 व्यक्तींच्या घशातील स्त्रावाचे नमुने तपासण्यात आले असून त्यापैकी 52 व्यक्ती कोरोना पॉझिटिव्ह आढळून आल्या आहेत. आतापर्यंत 93 हजार 855 व्यकींच्या घशातील स्त्रावाची तपासणी करण्यात आली. त्यात 11299 व्यक्ती कोरोना पॉझिटिव्ह आढळून आल्या.<br />
&nbsp;जिल्ह्यात आज कोरोना पॉझिटिव्ह आलेल्या मध्ये भंडारा तालुक्यातील 22, मोहाडी 04, तुमसर 08, पवनी 01, लाखनी 04, साकोली 09 व लाखांदुर तालुक्यातील 04 व्यक्तीचा समावेश आहे. आतापर्यंत 10446 रुग्णांनी कोरोनावर यशस्वीपणे मात केली आहे. जिल्ह्यात आता कोरोनाबधितांची संख्या 11299 झाली असून 584 क्रियाशील रुग्ण आहेत. &nbsp;रुग्ण बरे होण्याचे प्रमाण 92.45 टक्के आहे. तर जिल्ह्याचा मृत्युदर 02.38 टक्के एवढा आहे.<br />
शासकीय व खाजगी रुग्णालयात बाह्य रुग्ण विभागात येणाऱ्या कोणत्याही तापाच्या रुग्णांची कोविड चाचणी प्रिस्क्राईब करावी असे निर्देश जिल्हाधिकारी संदीप कदम यांनी दिले आहेत.</p>

<p><br />
<strong>नागरीकांना आवाहन<br />
&bull;&nbsp;&nbsp; &nbsp;कोवीडपासून बचावासाठी मास्क हा आपला मुख्य संरक्षक आहे, मास्कचा सदैव आणि योग्य वापर करा.<br />
&bull;&nbsp;&nbsp; &nbsp;साबण आणि पाण्याने हात वारंवार कमीत-कमी 20 सेकंद व्यवस्थित धुवा.<br />
&bull;&nbsp;&nbsp; &nbsp;साबण आणि पाण्याची सुविधा उपलब्ध नसेल तर अल्कोहोलयुक्त हॅंड सॅनिटायझरचा वापर करा.</strong></p>","36,41",67,,
भंडारा ,NewsKatta,36,विद्यार्थ्यांची कोरोना चाचणी करा : भाजप शिक्षक सेल ,विद्यार्थ्यांची कोरोना चाचणी करा : भाजप शिक्षक सेल ,"<p><span style=""font-size:24px""><strong>विद्यार्थ्यांची कोरोना चाचणी करा : भाजप शिक्षक सेल&nbsp;</strong></span></p>

<p><span style=""font-size:16px""><strong>न्यूज़ कट्टा /&nbsp; भंडारा&nbsp;</strong></span></p>

<p><em><strong>राज्यात बहुतांश शाळा सुरू झाल्या असून विद्यार्थ्यांची उपस्थिती वाढत असल्याने विद्यार्थ्यांची कोरोना चाचणी करावी अशी मागणी भाजप शिक्षक सेलने केली आहे. या आशयाचे निवेदन नुकतेच मुख्यमंत्र्यांना पाठविले आहे.&nbsp;</strong></em></p>

<p>23 नोव्हेंबेर पासून राज्यातील नववी ते बारावीचे वर्ग सुरू करण्याचे आदेश शालेय शिक्षण विभागाने स्थानिक प्रशासनाला दिल्यानंतर राज्यातील बहुतांश शाळा सुरू झाल्या असून शाळांमध्ये विद्यार्थ्यांची उपस्थिती दिवसेंदिवस वाढत चालली आहे.&nbsp;<br />
शाळा सुरू करण्यापूर्वी शिक्षकांनी आरटी-पीसीआर तपासणी तर काही ठिकाणी रॅपिड एंटीजेन चाचणीही केली. काही शिक्षकांचे आरटी-पीसीआर/रॅपिड एंटीजेन तपासणी निकाल पॉजिटिव आले. अजूनही राज्यात व प्रत्येक जिल्ह्यात कोविड-19 चे क्रियाशील रुग्ण आढळून येत आहेत.<br />
अशा स्थितीत विद्यार्थ्यांपैकी एखादा विद्यार्थी कोरोना संसर्गित आढळल्यास इतर विद्यार्थी व शिक्षकांनाही त्याचा संसर्ग होऊ शकतो. परिणामी शासनाने व स्थानिक प्रशासनाने विद्यार्थ्यांची सुद्धा रॅपिड एंटीजेन किंवा आरटी-पीसीआर तपासणी करण्याची व्यवस्था करावी व संभावित संसर्ग धोका टाळावा अशी मागणी भाजप शिक्षक सेलने केली आहे.&nbsp; या आशयाचे निवेदन भाजप शिक्षक सेल महाराष्ट्र प्रांत सहसंयोजक डॉ. उल्हास फडके यांच्या नेतृत्वात भंडारा जिल्हा संयोजक कैलास कुरंजेकर, सहसंयोजक घनश्याम तरोणे, देवचंद चौधरी यांनी भंडारा जिल्हाधिकारी संदीप कदम यांना दिले.</p>","34,54",79,,
 करडी (पालोरा),NewsKatta,40,पालोरा येथे तलावात बुडून किशोरवयीन मुलाचा मृत्यू,पालोरा येथे तलावात बुडून किशोरवयीन मुलाचा मृत्यू,"<p><strong><span style=""font-size:28px"">पालोरा येथे तलावात बुडून किशोरवयीन मुलाचा मृत्यू</span></strong><br />
<strong><span style=""font-size:16px"">न्यूज़ कट्टा / &nbsp;करडी (पालोरा)</span></strong></p>

<p><strong><em>&nbsp;मित्रासोबत तलावात पोहायला गेलेल्या एका किशोरवयीन मुलाचा बुडून मृत्यू झाल्याची घटना पालोरा येथील खडकी रोडवरील तलावात आज&nbsp; दिनांक&nbsp; ९ रोजी सायंकाळी 4.00 वाजता दरम्यान घडली. मृतकाचे नाव आदित्य उर्फ आदेश इन्द्रपाल मेश्राम (15) राहणार पालोरा असे आहे.</em></strong></p>

<p>आदित्य हा आज दुपारी तीन वाजेच्या दरम्यान आपला मित्र विकी सिद्धार्थ तिरपुडे (15) रा. पालोरा याचे सोबत हुडकी तलावावर पोहायला गेले होते. दोघेही पोहत असताना अचानक आदित्य खोल पाण्यात गेल्याने त्याचा बुडून मृत्यू झाला. . घाबरलेल्या स्थितीत विकीने सदर घटना गावात सांगितली. ग्रामस्थांनी तलावात जाऊन पाहणी केली असता आदित्यचा मृतदेह तलावात मिळून आला. पोलीस पाटील वीरेंद्र रंगारी यांच्या माहितीवरून करडी पोलिसांनी घटनास्थळावर धाव घेत पंचनामा केला. &nbsp;पुढील तपास पालोरा बिटचे पोलीस हवालदार विजय सलामे व पोलीस हवालदार बोंद्रे करीत आहेत.</p>","35,36,38",57,,
सोलापूर ,NewsKatta,41,ग्लोबल शिक्षक डिसले गुरुजी कोरोना पॉझिटिव्ह ,ग्लोबल शिक्षक डिसले गुरुजी कोरोना पॉझिटिव्ह ,"<p><span style=""font-size:26px""><strong>ग्लोबल शिक्षक डिसले गुरुजी कोरोना पॉझिटिव्ह&nbsp;</strong></span></p>

<p><em><strong>न्यूज़ कट्टा /&nbsp; सोलापूर&nbsp;</strong></em></p>

<p><em><strong>तब्बल 7 कोटींचा ग्लोबल टीचर पुरस्कार मिळवून नुकतेच प्रसिद्धीच्या झोतात आलेले &nbsp;सोलापूर जिल्ह्यातील माढा येथील जि. प. शिक्षक रणजीतसिंह डिसले आज कोव्हिड पॉझिटिव्ह आल्याचे त्यांनी कळविले आहे.&nbsp;</strong></em></p>

<p>डिसले गुरुजींनी त्यांच्या व्हाटस अपवर &nbsp;आज बुधवार रोजी सायंकाळी 5.45 वाजता या बाबतीत स्टेटस अपडेट केला आहे. &quot;विशेष आवाहन, लक्षणे दिसत असल्याने मी कोव्हिड टेस्ट करून घेतली असून ती पॉझिटिव्ह आहे. तरी माझ्या संपर्कात आलेल्या सर्वांनी आपली टेस्ट करून घ्यावी.&quot; असे विशेष आवाहन त्यांनी व्हाटसअप्पच्या माध्यमातून केले आहे.&nbsp;<br />
झेडपी गुरुजी रणजीतसिंह डिसले यांनी 3 डिसेंबर रोजी &nbsp;वार्की फाउंडेशन दुबई व यूनेस्को स्थापित 7 कोटींचा प्रतिष्ठित ग्लोबल टीचर पुरस्कार मिळविला होता. पुरस्कार जाहीर होताच सर्व स्तरांवरून डिसले गुरुजींवर अभिनंदनाचा वर्षाव झाला. नुकतेच राज्याचे राज्यपाल महामहीम भागतसिंह कोश्यारी, मुख्यमंत्री उद्धव ठाकरे, शिक्षणमंत्री वर्षा गायकवाड, मनसे प्रमुख राज ठाकरे यांच्यासह विरोधी पक्ष नेते व इतर अनेक लोकप्रतिनिधिंशी त्यांची भेट झाली होती.&nbsp;<br />
राजधानीवरुन गावी येताच आज त्यांचे गावात जंगी स्वागत करण्यात आले होते. त्यानंतर लक्षणे जाणविल्याने तपासणी करून घेतली असता &nbsp;चाचणीत ते व त्यांची सौ. पॉझिटिव्ह आल्याचे कळताच त्यांनी हे विशेष आवाहन केले आहे.</p>","32,34,54",135,,
गोंडसावरी,NewsKatta,42,पत्नी पाठोपाठ पतीने सोडला प्राण ,पत्नी पाठोपाठ पतीने सोडला प्राण ,"<p style=""text-align:justify""><span style=""font-size:28px""><strong>पत्नी पाठोपाठ पतीने सोडला प्राण&nbsp;</strong></span><br />
<em><strong>&nbsp;<span style=""font-size:22px"">गोंडसावरी येथील घटना&nbsp;</span><br />
<span style=""font-size:18px"">न्यूज़ कट्टा /&nbsp;&nbsp;लाखनी&nbsp;</span></strong></em></p>

<p style=""text-align:justify""><em><strong>भारतीय संस्कृतीत विवाह संस्थेला अनन्य साधारण महत्व आहे. विवाह समारंभात अग्नी समक्ष फेरे घेतांना &quot;साथ जीयेंगे साथ मरेंगे&quot; अशी शपथ घेतली जाते. याचा प्रत्यय गोंडसावारी येथे आला. पत्नीचा मृत्यू झाल्याचे कळताच तासाभराने पतीचेही निधन झाले. &nbsp; &nbsp;फिपुला भोंडे ७५ असे पत्नीचे तर &nbsp;नारायण भोंडे ८० असे पतीचे नाव आहे. वृद्ध दाम्पत्याच्या निधनाने गावावर शोककळा पसरली आहे.&nbsp;</strong></em></p>

<p style=""text-align:justify"">&nbsp; &nbsp; कोका अभयारण्याचे बफर झोन मध्ये गोंडसावरी हे गाव समाविष्ट आहे. या गावालगत दिवसाही हिंस्त्र प्राण्यांचा वावर असतो. याच गावात अत्यल्प भूधारक नारायण भोंडे पत्नी फिपुलाबई यांचेसह वास्तव्यास होते. त्यांच्या संसार रुपी वेलीवर १ मुलगा आणि ५ मुली अशी अपत्य होती. त्यांचा सुखात संसार सुरू होता. मुले विवाह योग्य झाल्याने त्यांचे विवाह पार पाडण्यात आले.&nbsp;<br />
&nbsp; &nbsp; &nbsp; &nbsp; सुखात संसार सुरू असताना अचानक फिपुलाबाईस अर्धांगवायूचा झटका आला. अनेक ठिकाणी उपचार केले. पण &nbsp;काही फायदा झाला नाही. त्यामुळे त्या अंथरुणाला खिळून होत्या. अचानक ९ डिसेंबर रोजी पहाटे ४ वाजेच्या सुमारास तिचा मृत्यू झाला. ही बाब पती नारायण भोंडे यास माहिती होताच त्याचाही तास भरात मृत्यू झाला. ही बातमी गावात पसरताच त्यांना बघण्यासाठी त्यांचे घरासमोर गावकऱ्यांची गर्दी जमा झाली. तर गावात सर्वच महिला पुरुष हळहळ व्यक्त करत होते. नातेवाईकांना या पतिपत्नीच्या निधनाची निधनाची बातमी देण्यात आली. सासरी नयनाने गावकरी व नातेवाईकांच्या उपस्थितीत स्थानिक स्मशानभूमीत अंतिमसंस्कर &nbsp;करण्यात आले. या वृद्ध दाम्पत्याने &quot;साथ जियेंगे साथ मरेंगे&quot; ही&nbsp; म्हण यथार्थ&nbsp; करून दाखविली.</p>","34,36,38",163,,
 लाखनी,न्यूज कट्टा,43,टाटा एस मोटारसायकल अपघातात ३ जखमी ,टाटा एस मोटारसायकल अपघातात ३ जखमी ,"<p style=""text-align:justify""><span style=""font-size:26px""><strong>टाटा एस व&nbsp;&nbsp;मोटारसायकल अपघातात ३ जखमी&nbsp;</strong></span><br />
<strong>* भिवगडे पेट्रोल पंप मानेगाव समोरील घटना&nbsp;</strong></p>

<p style=""text-align:justify""><em><strong>न्यूज़ कट्टा /&nbsp;&nbsp;लाखनी </strong></em></p>

<p style=""text-align:justify""><strong><em>विवाह समारंभ आटोपून गावाकडे मोटार सायकलने जात असताना राष्ट्रीय महामार्गावरील भीवगडे पेट्रोल पंपासमोर टाटा एस ला मोटार सायकलने मागेहून धडक दिल्याने झालेल्या अपघातात ३ जण जखमी झाल्याची घटना ९ डिसेंबर रोजी सायंकाळी ४:३० वाजता दरम्यान घडली. मोनु जयस्वाल ३५ , किशोर घरोटे ३२ , रोहित गणवीर ३० सर्व राहणार जमणापुर ता. साकोली अशी जखमींची नावे आहेत.&nbsp;</em></strong></p>

<p style=""text-align:justify"">&nbsp; &nbsp; &nbsp; &nbsp; जखमी युवक मोटारसायकल क्रमांक एमएच ४० बीयू ४६६१ ने मित्राचे विवाह समारंभासाठी गुरढा ता. लाखनी येथे गेले होते. परतीच्या प्रवासात राष्ट्रीय महामार्गावर मोटार सायकल समोर एमएच ३०/२०२६ हे टाटा एस मालवाहू वाहन होते. टाटा एस पेट्रोल पंपकडे जाण्यासाठी वळत असताना मागेहून भरधाव येणाऱ्या मोटार सायकल ने मागेहून धडक दिल्याने मोटार सायकल वरील ३ युवक महामार्गावर पडल्याने जखमी झाले. त्यापैकी २ इसम गंभीर जखमी आहेत. घटनेची लाखनी पोलिसांना देण्यात आली. तसेच भ्रमणध्वनी वरून १०८ क्रमांकावर संपर्क साधण्याचा प्रयत्न केला. पण झाला नसल्याने एका खाजगी वाहनाने जखमींना उपचारासाठी ग्रामीण रुग्णालय लाखनी येथे नेण्यात आले. पोलिस उपनिरीक्षक तांबे सहकाऱ्यांसह घटनास्थळी आले होते. अपघातानंतर टाटा एस वाहन पसार झाल्याचे विश्वसनीय वृत्त आहे. वृत्त लिहीपर्यंत लाखनी पोलिसांकडून गुन्हा दाखल केला गेला नव्हता.</p>","36,38",98,,
